time_since_cooked_hours,storage_location,acidity_source,consistency,cumulative_time_in_danger_zone_hours,storage_container,observed_odor_score,dal_state
141,Refrigerator,None (plain dal),Medium,3,Covered (not airtight),1,1
144,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
103,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),2,1
166,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,1
84,Refrigerator,Tomatoes,Watery (thin),2,Airtight,1,1
146,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
166,Refrigerator,None (plain dal),Medium,1,Open to air,2,2
128,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
44,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),0,0
36,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,0
65,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
137,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
29,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
122,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
1,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Open to air,0,0
52,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
14,Refrigerator,None (plain dal),Thick (low water),3,Airtight,0,0
100,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
163,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
114,Refrigerator,Tomatoes,Watery (thin),1,Open to air,0,1
36,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
102,Refrigerator,Tomatoes,Thick (low water),6,Airtight,1,1
166,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Covered (not airtight),0,1
72,Refrigerator,None (plain dal),Thick (low water),2,Airtight,0,0
76,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
24,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Covered (not airtight),0,0
37,Refrigerator,Tomatoes,Watery (thin),1,Open to air,0,0
28,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),0,0
45,Refrigerator,None (plain dal),Medium,3,Covered (not airtight),0,1
138,Room Temperature,None (plain dal),Medium,138,Open to air,3,3
154,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,1
137,Room Temperature,Tomatoes,Thick (low water),137,Covered (not airtight),4,3
137,Refrigerator,Tomatoes,Watery (thin),3,Open to air,2,1
145,Refrigerator,None (plain dal),Watery (thin),1,Airtight,2,2
91,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
67,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
42,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
88,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
8,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
80,Refrigerator,Tomatoes,Thick (low water),1,Covered (not airtight),0,0
19,Refrigerator,None (plain dal),Medium,3,Airtight,0,0
142,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
146,Room Temperature,Tomatoes,Medium,146,Airtight,3,3
136,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
167,Refrigerator,None (plain dal),Watery (thin),4,Covered (not airtight),2,2
40,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),0,0
43,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,43,Airtight,3,3
157,Room Temperature,Tomatoes,Medium,157,Covered (not airtight),4,3
24,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,24,Airtight,1,1
149,Refrigerator,Tomatoes,Watery (thin),4,Airtight,3,2
84,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
19,Room Temperature,Tomatoes,Watery (thin),19,Airtight,2,2
36,Refrigerator,Tomatoes,Thick (low water),4,Open to air,0,1
79,Refrigerator,None (plain dal),Thick (low water),4,Covered (not airtight),0,1
22,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),6,Covered (not airtight),1,1
149,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,1
81,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
68,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
95,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Airtight,0,0
137,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Airtight,1,1
63,Room Temperature,Tomatoes,Thick (low water),63,Covered (not airtight),3,3
112,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
150,Refrigerator,Tomatoes,Watery (thin),6,Open to air,2,2
99,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
58,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
5,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),5,Open to air,0,1
65,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
96,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,1
94,Room Temperature,Tomatoes,Medium,94,Covered (not airtight),4,3
104,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,1
70,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,1
96,Refrigerator,None (plain dal),Thick (low water),4,Airtight,0,1
163,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
37,Room Temperature,None (plain dal),Medium,37,Airtight,4,3
167,Refrigerator,None (plain dal),Watery (thin),2,Airtight,2,2
75,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
163,Room Temperature,Tomatoes,Watery (thin),163,Open to air,4,3
107,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
28,Refrigerator,Tomatoes,Watery (thin),4,Airtight,0,1
91,Refrigerator,None (plain dal),Thick (low water),4,Covered (not airtight),2,1
30,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
14,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
110,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,0,0
99,Refrigerator,None (plain dal),Medium,3,Airtight,1,1
10,Refrigerator,None (plain dal),Medium,2,Airtight,0,0
119,Refrigerator,None (plain dal),Thick (low water),2,Airtight,0,1
131,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),1,1
5,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Covered (not airtight),0,0
67,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
80,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
124,Refrigerator,Tomatoes,Medium,4,Airtight,0,1
60,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
30,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
165,Refrigerator,Tomatoes,Medium,4,Open to air,0,1
142,Refrigerator,Tomatoes,Watery (thin),4,Airtight,0,1
17,Refrigerator,Tomatoes,Thick (low water),4,Covered (not airtight),0,1
119,Refrigerator,None (plain dal),Medium,3,Airtight,0,1
42,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,0
105,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
100,Refrigerator,Tomatoes,Medium,3,Airtight,1,1
20,Refrigerator,None (plain dal),Thick (low water),1,Open to air,0,0
95,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
138,Room Temperature,None (plain dal),Medium,138,Airtight,4,3
92,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
161,Refrigerator,Tomatoes,Medium,4,Airtight,0,1
151,Room Temperature,Tomatoes,Thick (low water),151,Airtight,3,3
109,Refrigerator,None (plain dal),Watery (thin),4,Airtight,2,2
161,Refrigerator,None (plain dal),Medium,1,Airtight,1,1
16,Refrigerator,None (plain dal),Watery (thin),1,Open to air,0,0
149,Refrigerator,None (plain dal),Medium,1,Airtight,1,1
122,Refrigerator,Tomatoes,Medium,3,Airtight,0,1
49,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),4,Airtight,0,1
54,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,0
48,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
141,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,1
63,Refrigerator,None (plain dal),Medium,1,Open to air,0,0
78,Refrigerator,Tomatoes,Watery (thin),2,Covered (not airtight),0,1
99,Refrigerator,Tomatoes,Watery (thin),2,Airtight,1,1
140,Refrigerator,Tomatoes,Medium,3,Airtight,1,1
79,Refrigerator,None (plain dal),Thick (low water),1,Open to air,0,0
158,Room Temperature,None (plain dal),Watery (thin),158,Airtight,4,3
115,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,1
3,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
117,Refrigerator,None (plain dal),Thick (low water),2,Open to air,0,1
18,Refrigerator,None (plain dal),Watery (thin),3,Airtight,0,1
155,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
81,Refrigerator,None (plain dal),Watery (thin),3,Covered (not airtight),0,1
8,Refrigerator,Tomatoes,Medium,4,Airtight,0,1
48,Refrigerator,Tomatoes,Thick (low water),4,Airtight,0,1
140,Refrigerator,Tomatoes,Thick (low water),2,Open to air,0,0
48,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
165,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),1,1
30,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Covered (not airtight),0,0
63,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),4,Airtight,1,1
163,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
34,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,0
25,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
134,Refrigerator,None (plain dal),Medium,3,Airtight,2,2
134,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
119,Refrigerator,None (plain dal),Medium,1,Airtight,1,1
87,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,1
97,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
91,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
92,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Covered (not airtight),0,0
42,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,42,Airtight,2,2
34,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
11,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
24,Refrigerator,Tomatoes,Medium,3,Covered (not airtight),0,0
13,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),0,0
58,Refrigerator,Tomatoes,Thick (low water),3,Open to air,0,0
127,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Airtight,0,0
128,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
26,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
145,Refrigerator,Tomatoes,Watery (thin),6,Airtight,2,2
92,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
93,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,1
112,Refrigerator,Tomatoes,Thick (low water),4,Airtight,1,1
37,Room Temperature,Tomatoes,Watery (thin),37,Covered (not airtight),3,3
118,Refrigerator,Tomatoes,Thick (low water),1,Covered (not airtight),0,0
31,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
35,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,6,Covered (not airtight),0,1
131,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
77,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
77,Refrigerator,None (plain dal),Watery (thin),1,Covered (not airtight),0,1
31,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,0
74,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
22,Room Temperature,Tomatoes,Watery (thin),22,Airtight,4,3
80,Refrigerator,None (plain dal),Watery (thin),3,Airtight,0,1
61,Refrigerator,None (plain dal),Medium,3,Airtight,0,1
15,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
41,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Covered (not airtight),0,0
89,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,0,0
160,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Covered (not airtight),0,0
93,Refrigerator,None (plain dal),Medium,3,Airtight,0,1
137,Refrigerator,Tomatoes,Medium,2,Airtight,1,1
20,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Airtight,0,0
77,Refrigerator,None (plain dal),Thick (low water),3,Open to air,0,1
8,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,0
110,Refrigerator,Tomatoes,Medium,2,Airtight,2,1
121,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,4,Covered (not airtight),2,1
55,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
130,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
66,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
127,Refrigerator,Tomatoes,Thick (low water),1,Open to air,0,0
86,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
4,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
35,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
137,Room Temperature,None (plain dal),Thick (low water),137,Covered (not airtight),4,3
62,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
119,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
10,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Covered (not airtight),0,0
66,Refrigerator,Tomatoes,Thick (low water),1,Open to air,0,0
91,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,91,Airtight,4,3
113,Room Temperature,None (plain dal),Medium,113,Covered (not airtight),4,3
29,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),4,Open to air,2,1
102,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),0,1
14,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),0,0
146,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Covered (not airtight),0,1
71,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
58,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
127,Refrigerator,Tomatoes,Thick (low water),1,Covered (not airtight),0,0
60,Refrigerator,Tomatoes,Watery (thin),4,Open to air,0,1
76,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
54,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
43,Room Temperature,None (plain dal),Watery (thin),43,Open to air,3,3
116,Room Temperature,Tomatoes,Thick (low water),116,Covered (not airtight),3,3
81,Room Temperature,None (plain dal),Thick (low water),81,Airtight,4,3
69,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
25,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Covered (not airtight),0,0
124,Refrigerator,None (plain dal),Watery (thin),3,Airtight,3,2
33,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
155,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),1,1
9,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),9,Covered (not airtight),2,1
107,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,1
51,Room Temperature,None (plain dal),Watery (thin),51,Covered (not airtight),4,3
123,Refrigerator,None (plain dal),Medium,2,Airtight,1,1
119,Refrigerator,None (plain dal),Medium,2,Open to air,1,1
22,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),22,Open to air,0,1
31,Room Temperature,None (plain dal),Thick (low water),31,Airtight,3,3
54,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
154,Refrigerator,Tomatoes,Thick (low water),4,Covered (not airtight),0,1
72,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Airtight,0,0
39,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,0
85,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
3,Room Temperature,Tomatoes,Medium,3,Covered (not airtight),0,0
98,Refrigerator,None (plain dal),Medium,6,Airtight,0,1
167,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),2,2
134,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
164,Refrigerator,None (plain dal),Thick (low water),1,Airtight,1,1
119,Refrigerator,Tomatoes,Medium,1,Airtight,1,1
101,Refrigerator,None (plain dal),Watery (thin),6,Covered (not airtight),2,2
132,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
145,Refrigerator,None (plain dal),Medium,1,Airtight,2,1
86,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,4,Airtight,0,1
113,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
105,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),3,Covered (not airtight),0,0
110,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
3,Room Temperature,Tomatoes,Medium,3,Open to air,0,0
159,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
152,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,1
12,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
52,Refrigerator,None (plain dal),Medium,2,Airtight,1,1
63,Refrigerator,None (plain dal),Medium,1,Airtight,1,1
136,Refrigerator,None (plain dal),Medium,3,Open to air,2,1
45,Refrigerator,Tomatoes,Thick (low water),3,Covered (not airtight),0,0
29,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
80,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
112,Refrigerator,None (plain dal),Thick (low water),4,Covered (not airtight),0,1
135,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
28,Room Temperature,Tomatoes,Medium,28,Airtight,3,3
52,Refrigerator,Tomatoes,Watery (thin),6,Airtight,2,1
47,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),0,0
110,Refrigerator,Tomatoes,Watery (thin),2,Covered (not airtight),1,1
101,Refrigerator,None (plain dal),Medium,3,Open to air,0,1
14,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
119,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
68,Refrigerator,None (plain dal),Medium,1,Open to air,0,0
51,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
154,Refrigerator,None (plain dal),Watery (thin),1,Airtight,3,2
25,Refrigerator,Tomatoes,Watery (thin),2,Open to air,0,0
151,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
22,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
49,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
156,Refrigerator,Tomatoes,Medium,2,Open to air,2,1
102,Refrigerator,Tomatoes,Watery (thin),4,Covered (not airtight),0,1
167,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
136,Refrigerator,None (plain dal),Medium,3,Airtight,0,1
55,Room Temperature,Tomatoes,Medium,55,Covered (not airtight),3,3
166,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,1,1
15,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
80,Refrigerator,Tomatoes,Thick (low water),4,Airtight,1,1
60,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
12,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
39,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
123,Refrigerator,None (plain dal),Medium,4,Airtight,2,2
54,Room Temperature,Tomatoes,Thick (low water),54,Airtight,4,3
86,Refrigerator,None (plain dal),Watery (thin),2,Airtight,1,1
69,Refrigerator,None (plain dal),Watery (thin),2,Covered (not airtight),0,1
87,Room Temperature,None (plain dal),Medium,87,Airtight,3,3
98,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
19,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),3,Airtight,0,0
119,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,0,1
115,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
16,Refrigerator,None (plain dal),Medium,6,Airtight,1,1
51,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Covered (not airtight),0,0
150,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,1
134,Refrigerator,None (plain dal),Medium,3,Airtight,2,2
15,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
22,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
8,Refrigerator,Tomatoes,Medium,3,Airtight,0,0
57,Refrigerator,Tomatoes,Medium,3,Airtight,0,0
26,Room Temperature,None (plain dal),Medium,26,Airtight,3,3
94,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Covered (not airtight),0,0
72,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
74,Refrigerator,Tomatoes,Thick (low water),2,Open to air,0,0
74,Refrigerator,Tomatoes,Medium,4,Airtight,1,1
127,Refrigerator,Tomatoes,Medium,1,Airtight,2,1
59,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
83,Refrigerator,Tomatoes,Watery (thin),4,Covered (not airtight),2,1
