Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
16,Open air / uncovered,Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,5-15%,Yes
64,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
33,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,>15%,No
93,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
84,Covered in container,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,Oil film present,Yes
49,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Rancid smell,5-15%,Yes
37,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
28,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
33,Warm environment (≈35°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
110,Insulated container,Low (pH~6.5),Thickened,Metal container,Strong off-odor,>15%,Yes
103,Refrigerated (≈4°C),None,Thickened,Plastic box with lid,Fresh/normal,>15%,No
60,Covered in container,None,Thickened,Glass jar sealed,Strong off-odor,5-15%,Yes
20,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Slight off-smell,None,No
89,Warm environment (≈35°C),None,Clotted/curdled,Thermal flask,Sour fermentation smell,<5%,Yes
93,Covered in container,Moderate (pH~5.5),Normal (smooth),Metal container,Rancid smell,<5%,Yes
98,Covered in container,Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
86,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Strong off-odor,<5%,Yes
2,Open air / uncovered,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
98,Covered in container,Low (pH~6.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
16,Open air / uncovered,Moderate (pH~5.5),Thickened,Glass jar sealed,Rancid smell,>15%,Yes
67,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
110,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
25,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
52,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Thermal flask,Strong off-odor,5-15%,Yes
61,Room temperature (≈25°C),None,Thickened,Thermal flask,Fresh/normal,None,No
100,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Strong off-odor,5-15%,No
5,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,<5%,No
74,Insulated container,None,Thickened,Glass jar sealed,Fresh/normal,None,No
18,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,Oil film present,Yes
37,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
49,Covered in container,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
83,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
118,Covered in container,Low (pH~6.5),Mushy,Plastic box with lid,Sour fermentation smell,>15%,Yes
116,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
21,Warm environment (≈35°C),High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,Oil film present,Yes
34,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
108,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
37,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
65,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,Oil film present,Yes
6,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Metal container,Slight off-smell,None,No
93,Open air / uncovered,High (pH~4.5),Thickened,Metal container,Strong off-odor,5-15%,Yes
54,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
117,Covered in container,Low (pH~6.5),Mushy,Open bowl,Strong off-odor,5-15%,Yes
28,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
114,Room temperature (≈25°C),High (pH~4.5),Watery separation,Metal container,Strong off-odor,5-15%,Yes
73,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
89,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
75,Refrigerated (≈4°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,>15%,Yes
112,Open air / uncovered,High (pH~4.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
85,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
86,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
72,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,<5%,Yes
115,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
16,Covered in container,None,Watery separation,Metal container,Fresh/normal,None,No
51,Insulated container,Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
27,Open air / uncovered,High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,>15%,Yes
85,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,<5%,Yes
86,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
92,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
65,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
7,Insulated container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
96,Insulated container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,None,Yes
118,Insulated container,Moderate (pH~5.5),Clotted/curdled,Metal container,Sour fermentation smell,5-15%,Yes
100,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Slight off-smell,5-15%,Yes
77,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Rancid smell,<5%,Yes
13,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
18,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,Oil film present,Yes
68,Insulated container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,5-15%,Yes
4,Covered in container,Low (pH~6.5),Normal (smooth),Open bowl,Slight off-smell,None,No
85,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
95,Insulated container,None,Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
102,Refrigerated (≈4°C),High (pH~4.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
97,Warm environment (≈35°C),None,Mushy,Plastic box with lid,Slight off-smell,>15%,Yes
37,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Sour fermentation smell,<5%,Yes
85,Warm environment (≈35°C),High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,>15%,Yes
120,Refrigerated (≈4°C),None,Thickened,Thermal flask,Fresh/normal,<5%,No
45,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Slight off-smell,>15%,Yes
25,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,Oil film present,Yes
103,Insulated container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
32,Open air / uncovered,High (pH~4.5),Thickened,Metal container,Rancid smell,Oil film present,Yes
108,Refrigerated (≈4°C),High (pH~4.5),Watery separation,Open bowl,Strong off-odor,5-15%,Yes
0,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
100,Room temperature (≈25°C),High (pH~4.5),Normal (smooth),Glass jar sealed,Slight off-smell,5-15%,Yes
58,Warm environment (≈35°C),None,Clotted/curdled,Plastic box with lid,Fresh/normal,None,No
61,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,<5%,No
79,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,Oil film present,No
108,Insulated container,None,Clotted/curdled,Plastic box with lid,Rancid smell,>15%,Yes
85,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
113,Insulated container,High (pH~4.5),Clotted/curdled,Metal container,Slight off-smell,>15%,Yes
58,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
97,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
119,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
41,Open air / uncovered,None,Normal (smooth),Plastic box with lid,Rancid smell,None,No
12,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Metal container,Rancid smell,None,No
61,Open air / uncovered,None,Watery separation,Metal container,Sour fermentation smell,5-15%,Yes
120,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,5-15%,Yes
2,Covered in container,None,Thickened,Thermal flask,Fresh/normal,None,No
47,Insulated container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
11,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,Oil film present,No
62,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,Oil film present,No
58,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,<5%,Yes
106,Refrigerated (≈4°C),Moderate (pH~5.5),Thickened,Plastic box with lid,Rancid smell,5-15%,Yes
4,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
105,Insulated container,Moderate (pH~5.5),Mushy,Open bowl,Rancid smell,>15%,Yes
12,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
104,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Slight off-smell,Oil film present,Yes
41,Open air / uncovered,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
78,Room temperature (≈25°C),High (pH~4.5),Normal (smooth),Thermal flask,Sour fermentation smell,Oil film present,Yes
47,Covered in container,None,Thickened,Metal container,Fresh/normal,None,No
92,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,Oil film present,Yes
32,Insulated container,Low (pH~6.5),Normal (smooth),Open bowl,Slight off-smell,5-15%,No
40,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Slight off-smell,>15%,Yes
59,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Slight off-smell,Oil film present,Yes
9,Open air / uncovered,None,Watery separation,Plastic box with lid,Fresh/normal,None,No
76,Warm environment (≈35°C),None,Watery separation,Metal container,Sour fermentation smell,Oil film present,Yes
16,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
82,Warm environment (≈35°C),High (pH~4.5),Mushy,Metal container,Strong off-odor,>15%,Yes
93,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
63,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
81,Refrigerated (≈4°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Fresh/normal,None,No
75,Open air / uncovered,None,Watery separation,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
57,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Rancid smell,<5%,Yes
104,Refrigerated (≈4°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,<5%,Yes
77,Warm environment (≈35°C),Low (pH~6.5),Mushy,Open bowl,Rancid smell,None,Yes
92,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
2,Room temperature (≈25°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
112,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
45,Room temperature (≈25°C),Low (pH~6.5),Thickened,Open bowl,Strong off-odor,>15%,Yes
70,Open air / uncovered,Low (pH~6.5),Normal (smooth),Glass jar sealed,Rancid smell,>15%,Yes
45,Warm environment (≈35°C),None,Clotted/curdled,Glass jar sealed,Sour fermentation smell,5-15%,Yes
8,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
87,Refrigerated (≈4°C),High (pH~4.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
81,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
101,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,<5%,Yes
45,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
31,Open air / uncovered,None,Normal (smooth),Open bowl,Slight off-smell,None,No
76,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Metal container,Sour fermentation smell,>15%,Yes
113,Covered in container,None,Clotted/curdled,Thermal flask,Rancid smell,<5%,Yes
5,Open air / uncovered,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,5-15%,No
71,Covered in container,High (pH~4.5),Watery separation,Open bowl,Rancid smell,<5%,Yes
83,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,None,Yes
59,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
44,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
52,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
95,Insulated container,Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,5-15%,Yes
53,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
60,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
49,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
65,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,5-15%,Yes
11,Insulated container,None,Thickened,Open bowl,Fresh/normal,<5%,No
99,Covered in container,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,5-15%,Yes
68,Covered in container,Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,>15%,Yes
102,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,>15%,No
65,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
22,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,None,No
9,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
56,Covered in container,Moderate (pH~5.5),Normal (smooth),Open bowl,Sour fermentation smell,>15%,Yes
36,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
60,Warm environment (≈35°C),High (pH~4.5),Thickened,Metal container,Strong off-odor,<5%,Yes
0,Insulated container,None,Watery separation,Plastic box with lid,Fresh/normal,None,No
77,Covered in container,Moderate (pH~5.5),Watery separation,Open bowl,Sour fermentation smell,None,Yes
88,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
43,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
118,Insulated container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
110,Insulated container,High (pH~4.5),Mushy,Glass jar sealed,Rancid smell,>15%,Yes
113,Insulated container,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,<5%,Yes
88,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
68,Open air / uncovered,Moderate (pH~5.5),Thickened,Open bowl,Sour fermentation smell,5-15%,Yes
32,Covered in container,Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,<5%,No
67,Covered in container,Low (pH~6.5),Watery separation,Plastic box with lid,Fresh/normal,5-15%,No
12,Insulated container,None,Thickened,Thermal flask,Fresh/normal,None,No
88,Insulated container,High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,5-15%,Yes
92,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,<5%,Yes
98,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
71,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
97,Insulated container,Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
45,Covered in container,Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,None,No
46,Covered in container,High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
12,Warm environment (≈35°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
26,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
1,Open air / uncovered,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
73,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
55,Refrigerated (≈4°C),None,Thickened,Metal container,Fresh/normal,None,No
105,Room temperature (≈25°C),None,Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
25,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
79,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
38,Warm environment (≈35°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
46,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
36,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
